title,link,artist
Untitled (Unknown),https://collections.ed.ac.uk/record/21947?highlight=*:*,Joanne Leonie Milne
Portrait of a Seated Man in a Cap (1960),https://collections.ed.ac.uk/record/20983?highlight=*:*,Kenneth Muir
The Thinker (1969),https://collections.ed.ac.uk/record/21647?highlight=*:*,Marko Krsmanovic
Unknown (1950),https://collections.ed.ac.uk/record/50541?highlight=*:*,Alexander Cree
Green and Red Still Life,https://collections.ed.ac.uk/record/122814?highlight=*:*,Jacqueline A. Waterson
Untitled - Portrait of Red-Haired Woman (1965),https://collections.ed.ac.uk/record/99410?highlight=*:*,Ian Paterson
Winter Fence (1977),https://collections.ed.ac.uk/record/21549?highlight=*:*,Alfons Bytautas
untitled (1984),https://collections.ed.ac.uk/record/112340?highlight=*:*,David Hosie
Untitled (1967),https://collections.ed.ac.uk/record/21757?highlight=*:*,Ian Roy
Untitled (1963),https://collections.ed.ac.uk/record/22008?highlight=*:*,Janette Brown
Standing Female Nude,https://collections.ed.ac.uk/record/50424?highlight=*:*,Alastair Fairweather
Riders from the West Frieze of the Parthenon (1836-1837),https://collections.ed.ac.uk/record/20672?highlight=*:*,NA
Untitled (1962),https://collections.ed.ac.uk/record/99836?highlight=*:*,Ethel V Hope
Still Life with Drapes (1966),https://collections.ed.ac.uk/record/22651?highlight=*:*,James H. Fairgrieve
Bridge at Night,https://collections.ed.ac.uk/record/22535?highlight=*:*,H. Livingstone
Unknown,https://collections.ed.ac.uk/record/50417?highlight=*:*,Unknown
Drawn from Nature Exhibition Poster (Unknown),https://collections.ed.ac.uk/record/21847?highlight=*:*,Unknown
Untitled (2003),https://collections.ed.ac.uk/record/99925?highlight=*:*,Sarah Jamieson
2. (a) Baskerville Serif (1972),https://collections.ed.ac.uk/record/21669?highlight=*:*,Anthony Benjamin
Still Life with Bowl of Fruit (1964),https://collections.ed.ac.uk/record/122877?highlight=*:*,William M. McG. Gillon
Five Figures in Light and Shade (1960),https://collections.ed.ac.uk/record/123104?highlight=*:*,Ann F Ward
Hare (1920s),https://collections.ed.ac.uk/record/122127?highlight=*:*,Emma Gillies
Leopard (1920s),https://collections.ed.ac.uk/record/122123?highlight=*:*,Emma Gillies
Abstract Landscape (Circa 1964),https://collections.ed.ac.uk/record/21171?highlight=*:*,Kirkland Main
Food Print (2006),https://collections.ed.ac.uk/record/99862?highlight=*:*,Tomoko Kawanaka
Untitled (1965),https://collections.ed.ac.uk/record/99382?highlight=*:*,Julia A M Barnard
Standing Man with Scythe (1950s),https://collections.ed.ac.uk/record/21046?highlight=*:*,John Houston
Self Portrait (1992),https://collections.ed.ac.uk/record/22742?highlight=*:*,Victoria A. James
Seated Male Nude (17 FEB 1959),https://collections.ed.ac.uk/record/20937?highlight=*:*,A Robson
Male Nude on Step Ladders,https://collections.ed.ac.uk/record/22671?highlight=*:*,Helen G. S Forde
Portrait of a Woman (FEB 1952),https://collections.ed.ac.uk/record/21414?highlight=*:*,Martin G C McKeown
Standing Female Nude,https://collections.ed.ac.uk/record/22730?highlight=*:*,Unknown
Untitled (Unknown),https://collections.ed.ac.uk/record/21641?highlight=*:*,David Douglas
Life Painting (1918),https://collections.ed.ac.uk/record/20735?highlight=*:*,Anne Redpath
Seated Female Nude (1939),https://collections.ed.ac.uk/record/21136?highlight=*:*,Heather Measham
Seated Nude (1957),https://collections.ed.ac.uk/record/20933?highlight=*:*,Ruth Illingworth
Stretching Male Nude (Circa 1953),https://collections.ed.ac.uk/record/20949?highlight=*:*,Valerie Donaldson
Untitled (1969),https://collections.ed.ac.uk/record/99829?highlight=*:*,Richard Easson
Untitled (1955),https://collections.ed.ac.uk/record/99827?highlight=*:*,Alan Bartram
Nude Male and Horse (Circa 1963),https://collections.ed.ac.uk/record/21399?highlight=*:*,Leon Francesco Morrocco
Standing Male Nude (1959),https://collections.ed.ac.uk/record/20877?highlight=*:*,James C. Y. Gavin
Seated Female Nude (1953),https://collections.ed.ac.uk/record/21122?highlight=*:*,Robert L Thomson
Self Portrait (1950),https://collections.ed.ac.uk/record/21361?highlight=*:*,William James Laidlaw Baillie
Chariot from North Frieze of the Parthenon (1836-1837),https://collections.ed.ac.uk/record/20714?highlight=*:*,NA
Three studies on a pink ground (girl with clasped hands) (1949),https://collections.ed.ac.uk/record/20769?highlight=*:*,Barbara Hepworth
Untitled - Three Figures At the Opera (1963),https://collections.ed.ac.uk/record/99344?highlight=*:*,Ann F Ward
Gates of Paradise (1835),https://collections.ed.ac.uk/record/20577?highlight=*:*,Clement Pappi
Oedipus is King (Circa 1964),https://collections.ed.ac.uk/record/122717?highlight=*:*,Kirkland Main
Untitled (1962),https://collections.ed.ac.uk/record/99375?highlight=*:*,Janette Brown
Figures by a canal (Circa 1987),https://collections.ed.ac.uk/record/122740?highlight=*:*,John Picking
